%time,field.layout.data_offset,field.data0,field.data1
1548098108042765670,0,19,0
1548098119070118724,0,19,1
1548098130064378644,0,19,2
1548098141060055608,0,20,3
1548098152052603427,0,20,4
1548098163057727741,0,20,4
1548098174071363635,0,20,3
1548098185066445178,0,20,2
1548098196070979244,0,21,3
1548098207063959455,0,21,4
1548098218067237430,0,21,4
1548098229070435827,0,21,4
1548098240069131802,0,21,3
1548098251073306375,0,22,2
1548098262140224041,0,22,1
1548098273097482691,0,22,0
1548098284070772341,0,22,0
1548098295119365706,0,22,1
1548098306073760745,0,22,2
1548098317080549071,0,23,3
1548098328087218403,0,23,4
1548098339071234656,0,23,4
1548098350074320388,0,23,4
1548098361076943704,0,23,3
1548098372075482451,0,24,4
1548098383081067511,0,24,4
1548098394079788918,0,24,3
1548098405095689987,0,24,2
1548098416078466978,0,24,1
1548098427114502229,0,25,0
1548098438074195363,0,25,0
1548098449079834888,0,25,0
1548098460083074336,0,25,1
1548098471076700066,0,25,2
1548098482099614984,0,26,3
1548098493265870087,0,26,4
1548098504119013176,0,26,4
1548098515385580495,0,26,4
1548098526076552052,0,26,4
1548098537084135013,0,26,3
1548098548076654792,0,27,4
1548098559111092451,0,27,3
1548098570084614352,0,27,2
1548098581079523445,0,27,1
