time,state,workload,complete_work_with_robot,tries,success,obstacle2,obstacle3,human_at_start_of_check
1.0138068199157715,1,12,0,0,0,0,0,True
13.475336790084839,1,11,0,0,0,0,0,True
21.3730309009552,2,11,0,0,0,0,0,True
39.20205998420715,3,9,0,0,0,0,0,True
76.55680084228516,4,24,1,0,0,0,0,True
88.45434379577637,3,23,1,0,0,0,0,True
106.40094494819641,2,22,1,0,0,0,0,True
157.3398859500885,0,17,1,1,0,0,0,True
168.7458038330078,0,16,1,2,1,0,0,True
177.87847781181335,1,15,0,0,0,0,0,True
189.27543687820435,1,14,0,0,0,0,0,True
200.48838686943054,1,13,0,0,0,0,0,True
208.00542998313904,2,12,0,0,0,0,0,True
224.45237588882446,3,11,0,0,0,0,0,True
261.84035992622375,4,26,1,0,0,0,0,True
273.6630997657776,3,25,1,0,0,0,0,True
284.76667499542236,3,24,1,0,0,0,0,True
302.4435667991638,2,23,1,0,0,0,0,True
353.30713176727295,0,18,1,1,0,0,0,True
364.36451983451843,0,17,1,2,1,0,0,True
374.7925179004669,1,16,0,0,0,0,0,True
385.56388998031616,1,15,0,0,0,0,0,True
397.4345328807831,1,14,0,0,0,0,0,True
408.6546709537506,1,13,0,0,0,1,0,True
419.972393989563,1,12,0,0,0,0,0,True
428.89556884765625,2,11,0,0,0,0,1,True
439.48266983032227,2,10,0,0,0,0,0,True
457.82931995391846,3,8,0,0,0,0,0,True
496.5562148094177,4,23,1,0,0,0,0,True
508.468514919281,3,22,1,0,0,1,0,True
520.8566098213196,3,21,1,0,0,0,0,True
539.0420699119568,2,20,1,0,0,0,0,True
589.330130815506,0,15,1,1,0,0,0,True
600.8511118888855,0,14,1,2,1,0,0,True
609.397115945816,1,13,0,0,0,0,0,True
618.6553189754486,2,12,0,0,0,0,0,True
636.3644177913666,3,11,0,0,0,0,0,True
674.3748059272766,4,26,1,0,0,0,0,True
685.3681819438934,3,25,1,0,0,0,0,True
696.823933839798,3,24,1,0,0,0,0,True
715.6001579761505,2,23,1,0,0,0,0,True
766.4863629341125,0,18,1,1,0,0,0,True
777.7731058597565,0,17,1,2,1,0,0,True
786.5280258655548,1,16,0,0,0,0,0,True
798.3129987716675,1,15,0,0,0,0,0,True
809.6690878868103,1,14,0,0,0,0,0,True
821.1916258335114,1,13,0,0,0,0,0,True
828.4360749721527,2,12,0,0,0,0,0,True
1005.3231217861176,3,12,0,0,0,0,0,False
1017.0752577781677,3,11,0,0,0,0,0,True
1053.3870928287506,4,26,1,0,0,0,0,True
1065.9460289478302,3,25,1,0,0,0,0,True
1076.934625864029,3,24,1,0,0,0,0,True
1096.4080259799957,2,23,1,0,0,0,0,True
1146.286257982254,0,18,1,1,0,0,0,True
1157.6382608413696,0,17,1,2,1,0,0,True
1165.7836139202118,1,16,0,0,0,0,0,True
1176.5021259784698,1,15,0,0,0,0,0,True
1187.4171619415283,1,14,0,0,0,0,0,True
1198.68754196167,1,13,0,0,0,0,0,True
1206.2534608840942,2,13,0,0,0,0,0,True
1223.9299998283386,3,11,0,0,0,0,0,True
1264.361223936081,4,26,1,0,0,0,0,True
1281.5717117786407,3,25,1,0,0,1,0,True
1293.0929288864136,3,24,1,0,0,0,0,True
1312.8051388263702,2,22,1,0,0,0,0,True
1362.3398599624634,0,17,1,1,0,0,0,True
1373.8046438694,0,16,1,2,1,1,0,True
1381.6876308918,1,16,0,0,0,0,0,True
1392.6419768333435,1,15,0,0,0,1,0,True
1403.9614489078522,1,14,0,0,0,0,0,True
1414.8933868408203,1,13,0,0,0,1,0,True
1425.9153439998627,1,12,0,0,0,0,0,True
1436.00430393219,2,11,0,0,0,0,1,True
1446.689868927002,2,10,0,0,0,0,0,True
1463.427141904831,3,8,0,0,0,0,0,True
1500.3475749492645,4,23,1,0,0,0,0,True
1516.6177377700806,3,22,1,0,0,1,0,True
1527.4617018699646,3,21,1,0,0,0,0,True
1545.6676437854767,2,19,1,0,0,0,0,True
1595.664304971695,0,15,1,1,0,0,0,True
1606.9486269950867,0,14,1,2,1,0,0,True
1616.028077840805,1,13,0,0,0,0,0,True
1623.5883588790894,2,12,0,0,0,0,0,True
1641.747321844101,3,11,0,0,0,0,0,True
1678.346676826477,4,26,1,0,0,0,0,True
1691.0712358951569,3,25,1,0,0,0,0,True
1701.8257148265839,3,24,1,0,0,0,0,True
1719.4581859111786,2,23,1,0,0,0,0,True
1769.2024278640747,0,18,1,1,0,0,0,True
1780.716490983963,0,17,1,2,1,0,0,True
1788.5050837993622,1,16,0,0,0,0,0,True
1799.3805248737335,1,15,0,0,0,0,0,True
1810.9302439689636,1,14,0,0,0,0,0,True
1821.5207388401031,1,13,0,0,0,0,0,True
1829.1708419322968,2,13,0,0,0,0,0,True
1846.7077629566193,3,11,0,0,0,0,0,True
1883.05872797966,4,26,1,0,0,0,1,True
1894.4731287956238,4,26,1,0,0,0,0,True
1906.6144468784332,3,25,1,0,0,0,0,True
1924.2090089321136,2,24,1,0,0,0,0,True
1972.9106209278107,0,19,1,1,0,0,0,True
1983.9565348625183,0,18,1,2,1,0,0,True
1992.507534980774,1,17,0,0,0,0,0,True
